Club,Last_Name,First_Name,Position,Salary,Guaranteed_Comp
Sporting Kansas City,Saad,Soony,F,51150.00,51150.00
Real Salt Lake,Saborio,Alvaro,F,360000.00,453333.33
Houston Dynamo,Salazar,Bryan,F,48825.00,49825.00
Real Salt Lake,Salcedo,Carlos,D,48500.00,48500.00
Vancouver Whitecaps,Salgado,Omar,F,100000.00,141868.67
San Jose Earthquakes,Salinas,Shea,M,130000.00,133333.33
New York Red Bulls,Sam,Lloyd,F,136500.00,136500.00
Vancouver Whitecaps,Sampson,Ethen,D,36504.00,36504.00
Colorado Rapids,Sanchez,Vincente,F,210000.00,286666.67
New England Revolution,Sanchez,Jossimar,D,36504.00,36504.00
Real Salt Lake,Sandoval,Devon,F,48500.00,48500.00
Sporting Kansas City,Sapong,CJ,F,95000.00,112000.00
Houston Dynamo,Sarkodie,Kofi,D,150000.00,195500.00
LA Galaxy,Sarvas,Marcelo,M,192500.00,192500.00
New York City FC,Saunders,Josh,GK,48504.00,48504.00
Columbus Crew,Schoenfeld,Aaron,F,48825.00,48825.00
Real Salt Lake,Schuler,Chris,D,145000.00,162000.00
San Jose Earthquakes,Schuler,Billy,F,48500.00,48500.00
Seattle Sounders FC,Scott,Zach,D,52500.00,52500.00
DC United,Seaton,Michael,F,48500.00,51500.00
Chicago Fire,Segares,Gonzalo,D,160000.00,173333.33
FC Dallas,Seitz,Chris,GK,105000.00,105000.00
New York Red Bulls,Sekagya,Ibrahim,D,190000.00,219000.00
New York Red Bulls,Sene,Saer,F,152145.00,163682.54
Colorado Rapids,Serna,Dillon,M,52500.00,65500.00
DC United,Shanosky,Conor,D,36500.00,36500.00
Houston Dynamo,Sherrod,Mark,F,48504.00,48504.00
Chicago Fire,Shipp,Harrison,F,70000.00,95000.00
New England Revolution,Shuttleworth,Robert,GK,90000.00,100000.00
DC United,Silva,Luis,M,99440.00,134440.00
Sporting Kansas City,Sinovic,Seth,M-D,125000.00,131750.00
Montreal Impact,Smith,Blake,M,51150.00,84900.00
New England Revolution,Smith,Donnie,M,36500.00,36500.00
New England Revolution,Soares,AJ,D,119180.00,159180.00
New England Revolution,Soffner,Luis,GK,36500.00,36500.00
Montreal Impact,Soriola,Gege,D,120000.00,120000.00
LA Galaxy,Sorto,Oscar,D,48825.00,50700.00
Chicago Fire,Soumare,Bakary,D,330000.00,370000.00
FC Dallas,Span,Brian,M,48500.00,48500.00
Chivas USA,Spangenberg,Trevor,GK,36504.00,36504.00
Columbus Crew,Speas,Ben,F,65100.00,65100.00
San Jose Earthquakes,Stephenson,Khari,M,65004.00,68336.02
Real Salt Lake,Stertzer,John,M,36500.00,45875.00
Sporting Kansas City,Steuble,Martin,M,120000.00,120000.00
New York Red Bulls,Stevenson,Eric,M,36504.00,36504.00
San Jose Earthquakes,Stewart,Jordan,M-D,140000.00,140000.00
Chivas USA,Sturgis,Nathan,D-M,114000.00,120333.33
Columbus Crew,Stuver,Brad,GK,48500.00,48500.00
New England Revolution,Sundly,Alec,M,36504.00,36504.00
Columbus Crew,Sweat,Ben,D,48500.00,48500.00
Houston Dynamo,Taylor,Jermaine,D,185000.00,194500.00
New England Revolution,Taylor,Tony,F,69996.00,79371.00
Columbus Crew,Tchani,Tony,M,150000.00,175000.00
Vancouver Whitecaps,Teibert,Russell,M,70000.00,75600.00
FC Dallas,Texeira,David,F,338000.00,338000.00
FC Dallas,Thomas,Hendry,M,180000.00,180000.00
San Jose Earthquakes,Thompson,Tommy,M,140000.00,145000.00
New England Revolution,Tierney,Chris,D-M,100000.00,103333.33
Montreal Impact,Tissot,Maxim,D,48500.00,48500.00
Chivas USA,Toia,Donny,D,36500.00,36500.00
FC Dallas,Top,Jonathan,F,36500.00,36500.00
Vancouver Whitecaps,Tornaghi,Paolo,GK,72000.00,72000.00
Chivas USA,Torres,Erick,F,152004.00,152004.00
Colorado Rapids,Torres,Gabriel,F,250000.00,262500.00
Seattle Sounders FC,Traore,Djimi,D,132000.00,132000.00
Columbus Crew,Trapp,Wil,M,125000.00,152000.00
Portland Timbers,Tshuma,Schillo,F,75000.00,113000.00
Chivas USA,Tyrpak,Kristopher,F,36504.00,36504.00
FC Dallas,Ulloa,Victor,M,36504.00,36504.00
Portland Timbers,Urruti,Maximiliano,F,200000.04,200000.04
Philadelphia Union,Valdes,Carlos,D,294999.96,294999.96
Portland Timbers,Valeri,Diego,M,500000.00,500000.00
Colorado Rapids,Van de Casteele,Grant,D,48500.00,60000.00
Real Salt Lake,Velasquez,Sebastian,M,48825.00,48825.00
LA Galaxy,Venter,Kyle,D,48500.00,61000.00
Columbus Crew,Viana,Agustin,D-M,115000.00,141666.67
New York City FC,Villa,David,F,60000.00,60000.00
Portland Timbers,Villafana,Jorge,F,72765.00,74431.67
LA Galaxy,Villarreal,Joseph,M,48825.00,50700.00
Columbus Crew,Wahl,Tyson,D,85000.00,89666.67
Columbus Crew,Walker,Matt,M,36500.00,36500.00
FC Dallas,Walker,Nick,D,36500.00,36500.00
LA Galaxy,Walker,Kenney,M,48825.00,48825.00
Portland Timbers,Wallace,Rodney,M-D,150000.00,175000.00
Chicago Fire,Ward,Grant,F,48500.00,48500.00
Toronto FC,Warner,Collen,M-F,115500.00,143000.00
Vancouver Whitecaps,Waston,Kendall,D,199992.00,201242.00
Chicago Fire,Watson,Matt,M,71663.00,82664.99
FC Dallas,Watson,JeVaughn,M,110000.00,126875.00
New York City FC,Watson-Siriboe,Kwame,D,55000.00,56666.67
Colorado Rapids,Watts,Jared,M,36500.00,36500.00
Seattle Sounders FC,Weaver,Cam,F,48504.00,49004.00
Portland Timbers,Weber,Andrew,GK,48500.04,48500.04
Philadelphia Union,Wenger,Andrew,D/F,140000.00,242000.00
Philadelphia Union,Wheeler,Aaron,F,48825.00,48825.00
Philadelphia Union,White,Ethan,D,80000.00,80000.00
Toronto FC,Wiedeman,Andrew,F,60500.00,70500.00
Columbus Crew,Wiet,Matt,D,48500.00,48500.00
Columbus Crew,Williams,Josh,D,125000.00,125000.00
Philadelphia Union,Williams,Sheanon,F,125000.00,130500.00
DC United,Willis,Joe,GK,48825.00,48825.00
Real Salt Lake,Wingert,Chris,D,163590.00,170590.00
POOL,Withrow,Daniel,GK,36504.00,36504.00
San Jose Earthquakes,Wondolowski,Chris,M,600000.00,650000.00
New York Red Bulls,Wright-Phillips,Bradley,F,330000.00,372500.00
Colorado Rapids,Wynne,Marvell,D,200000.00,285000.00
Seattle Sounders FC,Yedlin,DeAndre,D,80000.00,92000.00
Portland Timbers,Zakuani,Steve,F,120000.00,120000.00
LA Galaxy,Zardes,Gyasi,F,125000.00,198000.00
Chivas USA,Zavaleta,Eriq,F,75000.00,105600.00
Portland Timbers,Zemanski,Ben,M,80850.00,83350.00
FC Dallas,Zendejas,Alejandro,F,36504.00,53170.67
FC Dallas,Zimmerman,Walker,D,80000.00,160100.00
Sporting Kansas City,Zizzo,Sal,F,77000.00,91045.71
Sporting Kansas City,Zusi,Graham,F-M,600000.00,631388.89
